Name,V60 2018 D3 安全運動版,V60 2018 T4 安全運動版,V60 2018 D4 安全運動版,V60 2018 D3 安全旗艦版,V60 2018 T4 安全旗艦版,V60 2018 D4 安全旗艦版,V60 2018 T5 R-Design,V60 2018 T6 R-Design,V60 2018 Polestar
新車售價,159萬,169萬,174萬,174萬,184萬,189萬,209萬,247萬,333萬
車身型式,Wagon旅行車,Wagon旅行車,Wagon旅行車,Wagon旅行車,Wagon旅行車,Wagon旅行車,Wagon旅行車,Wagon旅行車,Wagon旅行車
動力型式,柴油,汽油,柴油,柴油,汽油,柴油,汽油,汽油,汽油
變速系統,手自排6速,手自排6速,手自排8速,手自排6速,手自排6速,手自排8速,手自排8速,手自排8速,手自排8速
排氣量,1969cc,1969cc,1969cc,1969cc,1969cc,1969cc,1969cc,1969cc,1969cc
極速(km/h),210km/h,225km/h,225km/h,210km/h,225km/h,225km/h,230km/h,250km/h,250km/h
官方0-100km/h加速(s),9.1s,7.3s,7.7s,9.1s,7.3s,7.7s,6.4s,6s,4.8s
能源局公佈平均油耗,20.0km/ltr,15km/ltr,19.6km/ltr,20.0km/ltr,15km/ltr,19.6km/ltr,13.5km/ltr,10.5km/ltr,10.5km/ltr
能源效率等級,-,-,1,-,-,-,-,-,-
燃料稅,3708元,6180元,3708元,3708元,6180元,3708元,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元,11230元,11230元,11230元,11230元,11230元,11230元
車長(mm),4635mm,4635mm,4635mm,4635mm,4635mm,4635mm,4635mm,4635mm,4635mm
車寬(mm),1866mm,1866mm,1866mm,1866mm,1866mm,1865mm,1865mm,1865mm,1865mm
車高(mm),1484mm,1484mm,1484mm,1484mm,1484mm,1484mm,1484mm,1484mm,1484mm
軸距(mm),2776mm,2776mm,2776mm,2776mm,2776mm,2776mm,2776mm,2776mm,2776mm
車重(kg),1640kg,1640kg,1680kg,1640kg,1640kg,1680kg,1670kg,1680kg,1770kg
車門數,5門,5門,5門,5門,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座,5座,5座,5座,5座
油箱容量(L),67.5L,67.5L,67.5L,67.5L,67.5L,67.5L,67.5L,67.5L,67.5L
行李容積(L),430~1241L,430~1241L,430~1241L,430~1241L,430~1241L,430~1241L,430~1241L,430~1241L,430~1241L
前輪距(mm),1588mm,1588mm,1588mm,1588mm,1588mm,1588mm,1578mm,1578mm,1578mm
後輪距(mm),1585mm,1585mm,1585mm,1585mm,1585mm,1585mm,1575mm,1575mm,1575mm
進氣型式,渦輪增壓,渦輪增壓,雙渦輪增壓,渦輪增壓,渦輪增壓,雙渦輪增壓,渦輪增壓,雙增壓,雙增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16,16,16,16,16
壓縮比,16.0,11.3,15.8,16.0,11.3,15.8,10.8,10.8,8.6
最大馬力,150hp@3750rpm,190hp@4700rpm,190hp@4250rpm,150hp@3750rpm,190hp@4700rpm,190hp@4250rpm,245hp@5500rpm,306hp@5700rpm,367hp@6000rpm
最大扭力,32.6kgm@1750~3000rpm,30.6kgm@1300~4000rpm,40.8kgm@1750~2500rpm,32.6kgm@1750~3000rpm,30.6kgm@1300~4000rpm,40.8kgm@1750~2500rpm,35.7kgm@1500~4800rpm,40.8kgm@2100~4800rpm,47.9kgm@3100~5000epm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/55R16,215/55R16,215/55R16,235/40R18,235/40R18,235/40R18,235/40R19,235/40R19,245/35R20
後輪尺碼,215/55R16,215/55R16,215/55R16,235/40R18,235/40R18,235/40R18,235/40R19,235/40R19,245/35R20
引擎擺放位置,前置,前置,前置,前置,前置,前置,前置,前置,前置
