Name,V90 Cross Country 2019 D5,V90 Cross Country 2019 T6
新車售價,289萬,299萬
車身型式,Wagon旅行車,Wagon旅行車
動力型式,柴油,汽油
變速系統,手自排8速,手自排8速
排氣量,1969cc,1969cc
極速(km/h),230km/h,230km/h
官方0-100km/h加速(s),7.5s,6.3s
能源局公佈平均油耗,16.1km/ltr,11.2km/ltr
能源效率等級,1級,3級
燃料稅,3708元,6180元
牌照稅,11230元,11230元
車長(mm),4939mm,4939mm
車寬(mm),1879mm,1879mm
車高(mm),1543mm,1543mm
軸距(mm),2941mm,2941mm
車重(kg),2033kg,2033kg
車門數,5門,5門
乘客數,5座,5座
油箱容量(L),60L,60L
行李容積(L),560~1526L,560/1526L
進氣型式,渦輪增壓,"渦輪增壓,機械增壓"
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,15.8,10.3
最大馬力,235hp@4000rpm,320hp/5700rpm
最大扭力,48.9kgm@1750~2250rpm,40.8kgm/2200-5400rpm
驅動型式,四輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,235/55R18,235/55R18
後輪尺碼,235/55R18,235/55R18
引擎擺放位置,前置,前置
電動天窗,●,●
電動開闔尾門/行李蓋,●,●
車頂行李架,●,●
輪圈規格,18吋,18吋
後雨刷,●,●
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡記憶,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
抬頭顯示幕,●,●
環景影像系統,●,●
Keyless免匙系統,●,●
中控鎖,●,●
衛星導航,●,●
恆溫空調,4區,●
後座出風口,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
膝部氣囊,●,-
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,BAS/BOA/EBA,BAS/BOA/EBD
動態穩定系統,ESC,ESC
車道偏離警示,●,●
循跡系統,●,●
主動安全預防系統,●,●
斜坡起步輔助,●,●
陡坡緩降系統,●,●
定速系統,●,●
自動停車系統,●,●
盲點偵測系統,●,●
駕駛警示系統,●,●
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
主動式智慧定速系統,●,●
氣壓懸吊,○,○
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,真皮,真皮
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
前座座椅調整,●,●
後座座椅調整,●,-
後座前後滑移,●,-
後座分離式傾倒,4/6,●
座椅記憶功能,●,●
加熱座椅,●,●
通風座椅,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,●,●
多媒體系統,9吋,9吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,10,10
頭燈光源,LED,LED
感應頭燈,●,●
主動轉向頭燈,●,●
頭燈水準自動調整,●,●
自適應遠近光,●,●
LED日行燈,●,●
LED尾燈,-,●
前霧燈,●,●
後霧燈,●,●
轉向輔助照明,-,●
引擎啟閉系統,●,●
