Name,V90 2018 D4 Momentum,V90 2018 T5 Momentum,V90 2018 D4 Inscription,V90 2018 T5 Inscription
新車售價,243萬,259萬,293萬,309萬
車身型式,Wagon旅行車,Wagon旅行車,Wagon旅行車,Wagon旅行車
動力型式,柴油,汽油,柴油,汽油
變速系統,手自排8速,手自排8速,手自排8速,手自排8速
排氣量,1969cc,1969cc,1969cc,1969cc
極速(km/h),230km/h,230km/h,230km/h,230km/h
官方0-100km/h加速(s),8.5s,7.0s,8.5s,7.0s
能源局公佈平均油耗,19.3km/ltr,13.5km/ltr,19.3km/ltr,13.5km/ltr
能源效率等級,1級,2級,1級,2級
燃料稅,3708元,6180元,3708元,6180元
實測0-100km/h加速(s),-,6.97s,-,-
牌照稅,11230元,11230元,11230元,11230元
車長(mm),4936mm,4936mm,4936mm,4936mm
車寬(mm),1879mm,1879mm,1879mm,1879mm
車高(mm),1475mm,1475mm,1475mm,1475mm
軸距(mm),2941mm,2941mm,2941mm,2941mm
車重(kg),1874kg,1737kg,1874kg,1874kg
車門數,5門,5門,5門,5門
乘客數,5座,5座,5座,5座
油箱容量(L),55L,55L,55L,55L
行李容積(L),560~1526L,560-1526L,560~1526L,560-1526L
前輪距(mm),1628mm,1628mm,1628mm,1628mm
後輪距(mm),1629mm,1629mm,1629mm,1629mm
進氣型式,雙渦輪增壓,渦輪增壓,雙渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16
壓縮比,15.8,10.8,15.8,10.8
最大馬力,190hp/4250rpm,254hp/5500rpm,190hp/4250rpm,254hp/5500rpm
最大扭力,40.8kgm/1750-2500rpm,35.7kgm/1500-4800rpm,40.8kgm/1750-2500rpm,35.7kgm/1500-4800rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,245/45R18,245/45R18,255/40R19,255/40R19
後輪尺碼,245/45R18,245/45R18,255/40R19,255/40R19
引擎擺放位置,前置,前置,前置,前置
電動天窗,-,○,●,●
電動開闔尾門/行李蓋,●,●,●,●
車頂行李架,-,-,●,●
輪圈規格,18吋,18吋,19吋,19吋
後雨刷,●,●,●,●
感應式雨刷,●,●,●,●
後視鏡自動防眩目,●,●,●,●
後視鏡加熱/除霧,●,●,●,●
後視鏡記憶,●,●,●,●
後視鏡電動折疊,●,●,●,●
後視鏡電動調整,●,●,●,●
後視鏡方向指示燈,●,●,●,●
方向盤調整,●,●,●,●
多功能方向盤,●,●,●,●
動力方向盤,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
多功能資訊幕,●,●,●,●
抬頭顯示幕,-,○,●,●
環景影像系統,●,●,●,●
Keyless免匙系統,●,●,●,●
中控鎖,●,●,●,●
衛星導航,●,●,●,●
恆溫空調,●,●,四區,●
後座出風口,●,●,●,●
車內粉塵過濾,●,●,●,●
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
側面氣簾,●,●,●,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●
煞車輔助系統,BAS,BAS,BAS,BAS/BOA/EBD
動態穩定系統,ESC,ESC,ESC,ESC
車道偏離警示,●,●,●,●
循跡系統,●,●,●,●
主動安全預防系統,●,●,●,●
斜坡起步輔助,●,●,●,●
定速系統,●,●,●,●
自動停車系統,●,●,●,●
盲點偵測系統,●,●,●,●
駕駛警示系統,●,●,●,●
倒車雷達,●,●,●,●
倒車顯影系統,●,●,●,●
防盜系統,●,●,●,●
主動式智慧定速系統,●,●,●,●
氣壓懸吊,-,○,-,○
電子手剎車,●,●,●,●
駕駛模式選擇,●,●,●,●
座椅材質,真皮,真皮,真皮,真皮
座椅高低調整,●,●,●,●
腰部支撐調整,●,●,●,●
前座座椅調整,●,●,●,●
後座分離式傾倒,○,○,○,●
座椅記憶功能,●,●,●,●
加熱座椅,-,○,●,●
通風座椅,-,○,●,●
後座杯架,●,●,●,●
後座扶手,●,●,●,●
外部音源接入,●,●,●,●
多媒體系統,●,●,●,●
藍牙通訊,●,●,●,●
音響系統,●,●,●,●
音響喇叭數量,10,●,10,19
頭燈光源,LED,LED,LED,LED
感應頭燈,●,●,●,●
主動轉向頭燈,-,-,●,●
頭燈水準自動調整,-,-,-,●
自適應遠近光,-,●,●,●
LED日行燈,●,●,●,●
LED尾燈,●,●,●,●
前霧燈,●,●,●,●
後霧燈,●,●,●,●
轉向輔助照明,-,●,-,●
引擎啟閉系統,●,●,●,●
