Name,XC60 2019 D4 Momentum,XC60 2019 T5 Momentum,XC60 2019 T5 R-Design,XC60 2019 T6 Inscription,XC60 2019 T8 Inscription,XC60 2019 T8 R-Design
新車售價,222萬,232萬,249萬,269萬,299萬,299萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,柴油,汽油,汽油,汽油,油電混合,油電混合
變速系統,手自排8速,手自排8速,手自排8速,手自排8速,自排8速,自排8速
排氣量,1969cc,1969cc,1969cc,1969cc,1969cc,1969cc
極速(km/h),205km/h,220km/h,220km/h,230km/h,230km/h,230km/h
官方0-100km/h加速(s),8.4s,6.8s,6.8s,5.9s,5.3s,5.3s
能源局公佈平均油耗,16.7km/ltr,11.9km/ltr,11.9km/ltr,11.8km/ltr,47.6km/ltr,47.6km/ltr
能源效率等級,1,3,3,3,1,1
燃料稅,3708元,6180元,6180元,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元,11230元,11230元,11230元
車長(mm),4688mm,4688mm,4688mm,4688mm,4688mm,4688mm
車寬(mm),1902mm,1902mm,1902mm,1902mm,1902mm,1902mm
車高(mm),1658mm,1658mm,1658mm,1658mm,1658mm,1658mm
軸距(mm),2865mm,2865mm,2865mm,2865mm,2865mm,2865mm
車重(kg),1840kg,1920kg,1920kg,1940kg,2040kg,2040kg
車門數,5門,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座,5座
油箱容量(L),60L,60L,60L,71L,50L,70L
行李容積(L),505/1432L,505/1432L,505/1432L,505/1432L,505/1432L,505/1432L
前輪距(mm),1655mm,1655mm,1655mm,1655mm,1653mm,1653mm
後輪距(mm),1659mm,1659mm,1659mm,1659mm,1657mm,1657mm
進氣型式,雙渦輪增壓,渦輪增壓,渦輪增壓,雙增壓,雙增壓,雙增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列橫置4缸,直列橫置4缸,直列橫置4缸,直列橫置4缸,直列橫置4缸,直列橫置4缸
汽門數,16,16,16,16,16,16
壓縮比,15.8:1,10.8:1,10.8:1,10.3:1,10.3:1,10.3:1
最大馬力,190hp/4250rpm,254hp/5500rpm,254hp/5500rpm,320hp/5700rpm,320hp/5700rpm,320hp/5700rpm
最大扭力,40.8kgm/1750~2500rpm,35.7kgm/1500~4800,35.7kgm/1500~4800,40.8kgm/2200~5400,40.8kgm/2200~5400rpm,40.8kgm/2200~5400rpm
油電綜效輸出,-,-,-,-,407hp/65.3kgm,407hp/65.3kgm
電動機總功率(kW),-,-,-,-,299kW,299kW
電動機總扭矩(N·m),-,-,-,-,640N·m,640N·m
電動機最大功率(kW),-,-,-,-,63.9kW,63.9kW
電動機最大扭力(N·m),-,-,-,-,240N·m,240N·m
